source_ref	fixture_path	structural_field	structural_category	structural_value	evidence_boundary
prusaslicer:version_2.9.5@9a583bd438b195856f3bcf7ea99b69ba4003a961	packages/parity-fixtures/forks/prusaslicer/prusaslicer.gcode-output/gcodewriter-set-speed.gcode	source_ref	source identity	prusaslicer:version_2.9.5@9a583bd438b195856f3bcf7ea99b69ba4003a961	Accepted PrusaSlicer source identity only: `prusaslicer:version_2.9.5@9a583bd438b195856f3bcf7ea99b69ba4003a961`.
prusaslicer:version_2.9.5@9a583bd438b195856f3bcf7ea99b69ba4003a961	packages/parity-fixtures/forks/prusaslicer/prusaslicer.gcode-output/gcodewriter-set-speed.gcode	inventory_source_paths	source identity	src/libslic3r/GCode.cpp;src/libslic3r/GCode.hpp	Inventory source paths only: `src/libslic3r/GCode.cpp;src/libslic3r/GCode.hpp`.
prusaslicer:version_2.9.5@9a583bd438b195856f3bcf7ea99b69ba4003a961	packages/parity-fixtures/forks/prusaslicer/prusaslicer.gcode-output/gcodewriter-set-speed.gcode	fixture_source_literal	source identity	tests/fff_print/test_gcodewriter.cpp#L20-L35	Source literal only: `tests/fff_print/test_gcodewriter.cpp#L20-L35`.
prusaslicer:version_2.9.5@9a583bd438b195856f3bcf7ea99b69ba4003a961	packages/parity-fixtures/forks/prusaslicer/prusaslicer.gcode-output/gcodewriter-set-speed.gcode	fixture_id	fixture identity	gcodewriter-set-speed.gcode	Fixture identity only: `gcodewriter-set-speed.gcode`.
prusaslicer:version_2.9.5@9a583bd438b195856f3bcf7ea99b69ba4003a961	packages/parity-fixtures/forks/prusaslicer/prusaslicer.gcode-output/gcodewriter-set-speed.gcode	fixture_path	fixture identity	packages/parity-fixtures/forks/prusaslicer/prusaslicer.gcode-output/gcodewriter-set-speed.gcode	Checked-in fixture path only: `packages/parity-fixtures/forks/prusaslicer/prusaslicer.gcode-output/gcodewriter-set-speed.gcode`.
prusaslicer:version_2.9.5@9a583bd438b195856f3bcf7ea99b69ba4003a961	packages/parity-fixtures/forks/prusaslicer/prusaslicer.gcode-output/gcodewriter-set-speed.gcode	command_count_total	command counts	4	Count of G-code command rows in the selected fixture only; no generated-output behavior claimed.
prusaslicer:version_2.9.5@9a583bd438b195856f3bcf7ea99b69ba4003a961	packages/parity-fixtures/forks/prusaslicer/prusaslicer.gcode-output/gcodewriter-set-speed.gcode	command_count_g1	command counts	4	Count of `G1` command rows in the selected fixture only; no toolpath geometry claimed.
prusaslicer:version_2.9.5@9a583bd438b195856f3bcf7ea99b69ba4003a961	packages/parity-fixtures/forks/prusaslicer/prusaslicer.gcode-output/gcodewriter-set-speed.gcode	section_count_total	section counts	1	Count of structural sections in the selected summary only; no GUI, print, or runtime section behavior claimed.
prusaslicer:version_2.9.5@9a583bd438b195856f3bcf7ea99b69ba4003a961	packages/parity-fixtures/forks/prusaslicer/prusaslicer.gcode-output/gcodewriter-set-speed.gcode	ordered_marker_1	ordered markers	G1 F99999.123	First ordered marker value from the selected fixture summary only.
prusaslicer:version_2.9.5@9a583bd438b195856f3bcf7ea99b69ba4003a961	packages/parity-fixtures/forks/prusaslicer/prusaslicer.gcode-output/gcodewriter-set-speed.gcode	ordered_marker_2	ordered markers	G1 F1	Second ordered marker value from the selected fixture summary only.
prusaslicer:version_2.9.5@9a583bd438b195856f3bcf7ea99b69ba4003a961	packages/parity-fixtures/forks/prusaslicer/prusaslicer.gcode-output/gcodewriter-set-speed.gcode	ordered_marker_3	ordered markers	G1 F203.2	Third ordered marker value from the selected fixture summary only.
prusaslicer:version_2.9.5@9a583bd438b195856f3bcf7ea99b69ba4003a961	packages/parity-fixtures/forks/prusaslicer/prusaslicer.gcode-output/gcodewriter-set-speed.gcode	ordered_marker_4	ordered markers	G1 F203.201	Fourth ordered marker value from the selected fixture summary only.
prusaslicer:version_2.9.5@9a583bd438b195856f3bcf7ea99b69ba4003a961	packages/parity-fixtures/forks/prusaslicer/prusaslicer.gcode-output/gcodewriter-set-speed.gcode	movement_axis_present	movement/extrusion indicators	false	Boolean structural indicator for movement-axis text presence only; no toolpath geometry, travel, or printability claim.
prusaslicer:version_2.9.5@9a583bd438b195856f3bcf7ea99b69ba4003a961	packages/parity-fixtures/forks/prusaslicer/prusaslicer.gcode-output/gcodewriter-set-speed.gcode	extrusion_axis_present	movement/extrusion indicators	false	Boolean structural indicator for extrusion-axis text presence only; no extrusion amount, material, or printability claim.
prusaslicer:version_2.9.5@9a583bd438b195856f3bcf7ea99b69ba4003a961	packages/parity-fixtures/forks/prusaslicer/prusaslicer.gcode-output/gcodewriter-set-speed.gcode	temperature_marker_count	temperature/tool-change markers	0	Count of temperature marker commands in the selected fixture only; no printer-runtime behavior claimed.
prusaslicer:version_2.9.5@9a583bd438b195856f3bcf7ea99b69ba4003a961	packages/parity-fixtures/forks/prusaslicer/prusaslicer.gcode-output/gcodewriter-set-speed.gcode	tool_change_marker_count	temperature/tool-change markers	0	Count of tool-change marker commands in the selected fixture only; no multi-tool runtime behavior claimed.
